,area_type,availability,location,size,society,total_sqft,bath,balcony,price
0,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,60.344289787364104
1,Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,282.94315846383296
2,Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,175.0173201334542
3,Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,63.26599582651121
4,Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,59.18348866728222
5,Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,105.39639139428076
6,Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,283.4522096623573
7,Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,51.96185785910741
8,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,89.47439739642135
9,Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,180.92310798937768
10,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,76.68069214119251
11,Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,110.97682407347976
12,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,256.9205254240692
13,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,52.70085331327895
14,Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,71.41918617457574
15,Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,326.21105840780325
16,Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,34.189440256182834
17,Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,53.629229096128
18,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,45.81736156838472
19,Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,295.9539082852692
20,Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,47.51508296595878
21,Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,111.40712198927514
22,Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,37.30801023131517
23,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,58.925758767857246
24,Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,106.36731150632112
25,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,167.26982377843018
26,Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,101.58442756270215
27,Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,62.22520445040707
28,Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,57.85668569218343
29,Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,132.25898144048722
30,Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,63.72898879523321
31,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,73.94669259223116
32,Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,72.98220302864978
33,Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,237.9175828527373
34,Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,42.18869650991883
35,Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,97.67689085081254
36,Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,616.4941931393182
37,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,48.3946503642689
38,Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,124.58218968633864
39,Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,69.99514694576582
40,Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,139.09610250686515
41,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,162.17761289478975
42,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,118.01257359458337
43,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,47.502856431938625
44,Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,122.11583185489309
45,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,76.4435446725329
46,Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,45.4642045055367
47,Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,41.55724803833288
48,Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,41.98734445545412
49,Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,241.99033117685724
50,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,151.86504784811416
51,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,103.12900610364
52,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,47.30955779023722
53,Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,77.40449197427677
54,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,45.63720058620059
55,Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,42.17397918280043
56,Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,348.42575164566125
57,Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,144.83039080819773
58,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,114.87410779736196
59,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,67.9003470138106
60,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,119.1966200411984
61,Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,54.34350792468258
62,Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,46.341524093214765
63,Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,80.0717515575751
64,Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,67.07691534651765
65,Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,43.79254963225277
66,Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,49.610952542591654
67,Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,214.18291550197452
68,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,59.843287670979116
69,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,69.23773083957529
70,Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,148.3078760312552
71,Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,75.57970386951045
72,Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,133.10591344755014
73,Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,68.05849066849133
74,Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,108.63294167780936
75,Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,50.059639599708916
76,Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,65.57800308416113
77,Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,71.41609262925233
78,Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,285.44758907243505
79,Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,100.75897245515306
80,Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,46.570134016493974
81,Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,79.96042942988738
82,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,46.77642302692591
83,Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,59.46651976146717
