,area_type,availability,location,size,society,total_sqft,bath,balcony,price
0,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,60.8759019348027
1,Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,300.9173972117313
2,Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,201.35417384569607
3,Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,60.83868469806205
4,Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,57.141415686391426
5,Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,108.35371593364282
6,Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,337.9039261875468
7,Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,53.756410253245036
8,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,88.92196854146498
9,Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,166.894141175609
10,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,72.5516064232647
11,Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,105.52194711529627
12,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,252.20882917513106
13,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,57.361456021215304
14,Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,64.91751894080687
15,Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,333.66209760624673
16,Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,32.78841900263854
17,Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,51.6067823446436
18,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,44.60653361291419
19,Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,277.15497406671716
20,Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,40.06252715717925
