,bath,balcony,total_sqft_new,area_type_sq_feet,availability_maped,location_maped,size_sqft,society_maped
0,2.0,1.0,1056.0,1300.0,42,430,900.0,488.0
1,5.0,3.0,2600.0,1500.0,82,325,640.0,2569.0
2,2.0,3.0,1440.0,1100.0,82,1219,1350.0,
3,3.0,1.0,1521.0,1300.0,82,778,1350.0,2303.0
4,2.0,1.0,1200.0,1300.0,82,736,900.0,
5,2.0,1.0,1170.0,1300.0,82,1296,900.0,647.0
6,4.0,,2732.0,1300.0,36,923,1800.0,991.0
7,4.0,,3300.0,1300.0,82,1009,1800.0,380.0
8,3.0,1.0,1310.0,1300.0,82,820,1350.0,
9,6.0,,1020.0,1500.0,82,445,960.0,
10,2.0,2.0,1800.0,1300.0,31,1296,1350.0,
11,5.0,3.0,2785.0,1500.0,82,1296,640.0,1712.0
12,2.0,1.0,1000.0,1300.0,82,76,900.0,2202.0
13,2.0,2.0,1100.0,1100.0,82,477,900.0,
14,3.0,2.0,2250.0,1500.0,82,1075,480.0,2268.0
15,2.0,2.0,1175.0,1300.0,82,860,900.0,1689.0
16,3.0,2.0,1180.0,1300.0,82,275,1350.0,1669.0
17,3.0,3.0,1540.0,1300.0,82,1004,1350.0,853.0
18,4.0,2.0,2770.0,1300.0,82,1022,1350.0,1583.0
19,2.0,2.0,1100.0,1300.0,82,809,900.0,
20,1.0,1.0,600.0,1100.0,82,706,450.0,
21,3.0,1.0,1755.0,1300.0,42,274,1350.0,2169.0
22,5.0,2.0,2800.0,1500.0,82,1187,640.0,2316.0
23,3.0,1.0,1767.0,1300.0,82,242,1350.0,
24,1.0,0.0,510.0,1300.0,37,13,450.0,312.0
25,3.0,2.0,1250.0,1300.0,36,810,1350.0,
26,1.0,1.0,660.0,1300.0,82,428,900.0,970.0
27,3.0,2.0,1610.0,1100.0,54,1296,1350.0,
28,2.0,2.0,1151.0,1300.0,26,1021,900.0,2791.0
29,2.0,1.0,1025.0,1300.0,82,428,1350.0,1042.0
30,4.0,0.0,2475.0,1300.0,42,1305,1800.0,1164.0
31,2.0,1.0,1075.0,1300.0,82,275,1350.0,1669.0
32,2.0,2.0,1760.0,1300.0,82,525,1350.0,1282.0
33,3.0,3.0,1693.0,1300.0,82,1004,1350.0,853.0
34,3.0,,1925.0,1100.0,82,690,1350.0,1067.0
35,2.0,1.0,700.0,1300.0,65,681,900.0,1617.0
36,2.0,1.0,1070.0,1300.0,82,433,900.0,
37,3.0,2.0,1724.0,1300.0,82,751,1350.0,633.0
38,2.0,2.0,1290.0,1300.0,82,334,1350.0,
39,2.0,2.0,1143.0,1100.0,82,1219,900.0,
40,2.0,,1296.0,1100.0,82,856,900.0,794.0
41,3.0,2.0,1254.0,1300.0,42,1076,1350.0,2308.0
42,1.0,0.0,600.0,1300.0,82,448,450.0,426.0
43,1.0,0.0,660.0,1500.0,82,1305,160.0,
44,2.0,2.0,1330.74,1300.0,51,681,900.0,2284.0
45,9.0,,600.0,1500.0,82,505,1280.0,
46,2.0,0.0,970.0,1300.0,82,406,900.0,1155.0
47,2.0,1.0,1459.0,1300.0,63,1296,900.0,841.0
48,1.0,1.0,800.0,1500.0,82,642,320.0,
49,2.0,1.0,869.0,1100.0,82,538,900.0,
50,2.0,1.0,1270.0,1300.0,82,93,900.0,327.0
51,3.0,1.0,1670.0,1300.0,35,259,1350.0,1885.0
52,3.0,2.0,2010.0,1100.0,82,1296,1350.0,2500.0
53,2.0,2.0,1185.0,1300.0,82,766,900.0,1887.0
54,2.0,3.0,1600.0,1300.0,82,1305,1350.0,1409.0
55,2.0,2.0,1200.0,1300.0,82,238,900.0,613.0
56,,,3210.0,1100.0,55,375,640.0,346.0
57,2.0,2.0,1500.0,1300.0,82,1022,900.0,1583.0
58,4.0,1.0,1407.0,1500.0,82,856,960.0,
59,2.0,2.0,840.0,1300.0,82,479,900.0,
60,3.0,2.0,4395.0,1500.0,82,1190,480.0,
61,2.0,1.0,845.0,1300.0,82,448,900.0,1147.0
62,5.0,3.0,5700.0,1500.0,82,1296,640.0,453.0
63,2.0,2.0,1160.0,1100.0,82,1231,900.0,900.0
64,8.0,0.0,3000.0,1100.0,82,276,1280.0,
65,2.0,1.0,1100.0,1300.0,82,406,900.0,
66,2.0,3.0,1140.0,1300.0,28,495,900.0,274.0
67,2.0,1.0,1220.0,1300.0,82,820,900.0,
68,7.0,0.0,1350.0,1500.0,82,381,1280.0,
69,2.0,1.0,1005.0,1300.0,82,681,900.0,
70,3.0,2.0,500.0,1500.0,82,417,480.0,
71,2.0,1.0,1358.0,1300.0,53,238,900.0,1728.0
72,3.0,1.0,1569.0,1300.0,82,527,1350.0,2333.0
73,2.0,1.0,1240.0,1300.0,28,518,900.0,1965.0
74,3.0,2.0,2089.0,1300.0,82,534,1350.0,158.0
75,2.0,1.0,1206.0,1300.0,82,735,900.0,
76,2.0,3.0,1150.0,1300.0,82,657,900.0,
77,3.0,3.0,2511.0,1100.0,82,345,1350.0,2800.0
78,1.0,0.0,460.0,1100.0,82,696,900.0,
79,6.0,3.0,4400.0,1100.0,82,566,960.0,
80,2.0,2.0,1660.0,1300.0,82,718,1350.0,62.0
81,,,3203.5,1100.0,38,534,640.0,821.0
82,2.0,2.0,1326.0,1300.0,47,1305,900.0,1483.0
83,2.0,2.0,1325.0,1300.0,82,454,1350.0,
84,5.0,2.0,1499.0,1300.0,82,425,1350.0,1909.0
85,7.0,2.0,3000.0,1100.0,82,527,960.0,
86,3.0,2.0,1665.0,1300.0,82,681,1350.0,
87,2.0,2.0,708.0,1300.0,27,368,900.0,2557.0
88,2.0,2.0,1060.0,1300.0,82,687,900.0,2429.0
89,6.0,3.0,710.0,1500.0,82,1009,960.0,
90,2.0,2.0,1000.0,1100.0,82,1069,900.0,2058.0
91,2.0,1.0,1000.0,1300.0,30,428,900.0,
92,2.0,2.0,1450.0,1300.0,82,10,1350.0,
93,4.0,2.0,1200.0,1500.0,82,566,640.0,
94,2.0,3.0,1296.0,1300.0,17,1187,900.0,323.0
95,3.0,2.0,1540.0,1300.0,82,412,1350.0,
96,4.0,1.0,2894.0,1500.0,82,706,640.0,807.0
97,2.0,1.0,1330.0,1300.0,82,1078,1350.0,
98,2.0,1.0,1200.0,1100.0,82,383,900.0,
99,3.0,1.0,1200.0,1100.0,82,1169,480.0,
100,3.0,3.0,2502.0,1300.0,82,1312,1350.0,924.0
101,1.0,1.0,650.0,1100.0,82,312,900.0,1046.0
102,2.0,1.0,2400.0,1500.0,82,736,480.0,271.0
103,2.0,2.0,1007.0,1300.0,82,486,900.0,1303.0
104,2.0,2.0,1200.0,1300.0,82,1103,900.0,1278.0
105,2.0,2.0,966.0,1300.0,82,954,900.0,
106,2.0,1.0,1630.0,1100.0,82,872,1350.0,
107,3.0,2.0,1640.0,1100.0,82,1009,1350.0,380.0
108,2.0,2.0,782.0,1100.0,82,606,900.0,
109,2.0,2.0,1260.0,1300.0,40,375,900.0,1533.0
110,3.0,3.0,1800.0,1300.0,82,765,1350.0,
111,2.0,2.0,1413.0,1300.0,82,290,1350.0,1846.0
112,2.0,1.0,1116.0,1300.0,82,1296,900.0,2337.0
113,2.0,1.0,1530.0,1300.0,82,428,1350.0,548.0
114,4.0,1.0,3700.0,1100.0,82,1024,640.0,
115,3.0,2.0,2497.0,1100.0,82,1076,480.0,432.0
116,2.0,3.0,1540.0,1300.0,82,706,1350.0,2694.0
117,3.0,1.0,1436.0,1300.0,30,1187,1350.0,
118,2.0,2.0,1100.0,1300.0,34,807,900.0,
119,3.0,3.0,276.0,1500.0,82,534,320.0,
120,3.0,2.0,1427.0,1300.0,82,1187,1350.0,1380.0
121,3.0,1.0,2061.0,1300.0,82,103,1350.0,891.0
122,4.0,0.0,5611.5,1300.0,35,525,1800.0,1966.0
123,4.0,2.0,2650.0,1100.0,82,1096,1800.0,
124,2.0,2.0,1282.0,1300.0,75,375,1350.0,2048.0
125,2.0,1.0,1050.0,1100.0,82,651,900.0,
126,3.0,2.0,1600.0,1100.0,82,758,1350.0,2387.0
127,2.0,1.0,945.0,1300.0,76,1228,900.0,
128,2.0,1.0,1500.0,1300.0,82,547,900.0,2542.0
129,7.0,0.0,950.0,1500.0,82,1277,1120.0,
130,3.0,3.0,1870.0,1100.0,82,954,1350.0,1005.0
131,3.0,1.0,1600.0,1500.0,82,1075,480.0,948.0
132,1.0,1.0,880.0,1300.0,82,428,900.0,970.0
133,4.0,0.0,1200.0,1500.0,82,1029,640.0,
134,3.0,2.0,1535.0,1300.0,82,742,1350.0,2421.0
135,2.0,1.0,950.0,1100.0,82,681,900.0,2818.0
136,2.0,1.0,1360.0,1300.0,29,375,900.0,611.0
137,2.0,0.0,1073.5,1300.0,47,78,900.0,2682.0
138,3.0,1.0,1280.0,1300.0,36,278,1350.0,
139,2.0,2.0,1260.0,1300.0,44,313,1350.0,2581.0
140,8.0,,5000.0,1100.0,82,534,1280.0,
141,5.0,1.0,3050.0,1300.0,42,1305,2250.0,1164.0
142,3.0,1.0,1563.05,1300.0,82,687,1350.0,871.0
143,2.0,1.0,1000.0,1300.0,82,566,900.0,
144,2.0,1.0,1167.0,1300.0,21,123,900.0,2782.0
145,7.0,2.0,4000.0,1300.0,82,1275,3150.0,
146,3.0,,1828.0,1300.0,82,736,1350.0,2325.0
147,2.0,1.0,890.0,1300.0,82,708,900.0,915.0
148,3.0,3.0,1612.0,1300.0,82,228,1350.0,651.0
149,5.0,,1034.0,1500.0,82,386,960.0,
150,4.0,2.0,1710.0,1300.0,40,860,1350.0,339.0
151,2.0,1.0,957.0,1300.0,82,682,900.0,2647.0
152,2.0,3.0,1250.0,1300.0,36,6,1350.0,
153,4.0,,2795.0,1300.0,82,1070,1350.0,307.0
154,2.0,2.0,1125.0,1300.0,82,561,900.0,1625.0
155,2.0,1.0,1020.0,1300.0,33,430,900.0,2471.0
156,2.0,2.0,1200.0,1300.0,82,657,900.0,
157,3.0,3.0,1735.0,1300.0,82,1187,1350.0,2316.0
158,3.0,1.0,2050.0,1300.0,82,1187,1350.0,751.0
159,4.0,0.0,3750.0,1500.0,82,796,640.0,
160,2.0,3.0,1350.0,1100.0,82,1302,1350.0,
161,2.0,1.0,1063.0,1300.0,36,548,900.0,1996.0
162,3.0,1.0,1904.0,1300.0,82,714,1350.0,659.0
163,4.0,2.0,4200.0,1100.0,82,1296,640.0,
164,3.0,1.0,2000.0,1300.0,82,985,1350.0,914.0
165,2.0,0.0,1242.5,1300.0,30,1075,900.0,1090.0
166,2.0,2.0,1425.0,1300.0,82,1185,1350.0,1452.0
